Title,Company,Location,Experience,Salary / CTC,Tech Stack,Posted Date,Job Type,Industry,Source,Apply URL,Relevance Score,Match Summary,LLM Tech Stack,Joining / Notice,Location Detail,Detailed Analysis,Applied
Python Developer (@Infosys),Infosys,"Hybrid - Hyderabad, Kolkata, Bengaluru",5-10 Yrs,,,3 days ago,,,naukri,https://www.naukri.com/job-listings-python-developer-infosys-infosys-kolkata-hyderabad-bengaluru-5-to-10-years-150126031660,0.0,Python Developer (@Infosys) at Infosys. 5-10 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Kolkata, Bengaluru",Python Developer (@Infosys) at Infosys. 5-10 Yrs. Salary not disclosed.,False
GenAI Python Developer,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",3-8 Yrs,,,2 weeks ago,,,naukri,https://www.naukri.com/job-listings-genai-python-developer-tata-consultancy-services-hyderabad-chennai-bengaluru-3-to-8-years-160326010630,0.0,GenAI Python Developer at Tata Consultancy Services. 3-8 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hyderabad, Chennai, Bengaluru",GenAI Python Developer at Tata Consultancy Services. 3-8 Yrs. Salary not disclosed.,False
Python Developer,PwC India,"Hybrid - Hyderabad, Kolkata, Bengaluru",2-7 Yrs,,,1 week ago,,,naukri,https://www.naukri.com/job-listings-python-developer-pwc-india-kolkata-hyderabad-bengaluru-2-to-7-years-180326011550,0.0,Python Developer at PwC India. 2-7 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Kolkata, Bengaluru",Python Developer at PwC India. 2-7 Yrs. Salary not disclosed.,False
Python Developer - Hiring @Infosys,Infosys,"Hyderabad, Chennai, Bengaluru",5-10 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-python-developer-hiring-infosys-infosys-hyderabad-chennai-bengaluru-5-to-10-years-050326025511,0.0,Python Developer - Hiring @Infosys at Infosys. 5-10 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hyderabad, Chennai, Bengaluru",Python Developer - Hiring @Infosys at Infosys. 5-10 Yrs. Salary not disclosed.,False
Python Software Developer - ENG @Infosys - PAN INDIA,Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",4-5 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-python-software-developer-eng-infosys-pan-india-infosys-hyderabad-chennai-bengaluru-4-to-5-years-230925036738,0.0,Python Software Developer - ENG @Infosys - PAN INDIA at Infosys. 4-5 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Chennai, Bengaluru",Python Software Developer - ENG @Infosys - PAN INDIA at Infosys. 4-5 Yrs. Salary not disclosed.,False
Python Developer,Tata Consultancy Services,"Hyderabad, Kolkata, Bengaluru",4-9 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-python-developer-tata-consultancy-services-kolkata-hyderabad-bengaluru-4-to-9-years-200326028267,0.0,Python Developer at Tata Consultancy Services. 4-9 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hyderabad, Kolkata, Bengaluru",Python Developer at Tata Consultancy Services. 4-9 Yrs. Salary not disclosed.,False
Python Software Developer,TEKsystems,Hybrid - Hyderabad,6-9 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-python-software-developer-allegis-group-hyderabad-6-to-9-years-300326002760,0.0,Python Software Developer at TEKsystems. 6-9 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hybrid - Hyderabad,Python Software Developer at TEKsystems. 6-9 Yrs. Salary not disclosed.,False
Software Engineer III,UW Credit Union,"Madison, WI 53717",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=3098f0554359f5ba&bb=zouOSoCsp02aV5BKH80Beqjba-XEf_xP_Y9S0UJI5D054wlxt0z9Yuff_XTF7VO3IlBV3HOPoFEAv1BN5vvuGTwzUZyd-fpZ79gegRbw2xHPz41rr4xgcA_rFqoPegxmNJZwTjGfzd20CNCKK0rxwg%3D%3D&xkcb=SoA867M3lif4J8SsU50abzkdCdPP&fccid=2499327510186fe4&vjs=3,0.0,Software Engineer III at UW Credit Union. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Madison, WI 53717",Software Engineer III at UW Credit Union. Experience not specified. Salary not disclosed.,False
Full Stack Developer Contractor,EVident Battery,"Westford, MA 01886",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=f9a3da1ae20db072&bb=zouOSoCsp02aV5BKH80BeiwKj-1YUk60wlrYxbqCjMZDKBWrxcKeibMNDxbclOhL_BZt9rmQ6Z8JGzuPow5WgUfonIZOT6I4p3WxvHwilSqINPZJZISl-4AckUMq1CasgeI1XkHQ3MFOeJe_LmywGA%3D%3D&xkcb=SoCh67M3lif4J8SsU50ZbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,0.0,Full Stack Developer Contractor at EVident Battery. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Westford, MA 01886",Full Stack Developer Contractor at EVident Battery. Experience not specified. Salary not disclosed.,False
PYTHON DEVELOPER,Pythonwise,"Seattle, WA",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=1a20a1c56fb7df73&bb=zouOSoCsp02aV5BKH80BemTGZQqcMvSTZ1VGQk-FTRHxFHOx6g2GVj4pmgdNMMjKUIwb6LnpQBLrAP64N7RNgPadHgYYlZN5mC_r-hfSPzTFQGLM9hFcBB_HknWEZslFG0clkNAZDAW7zGVfVGyBEw%3D%3D&xkcb=SoAV67M3lif4J8SsU50YbzkdCdPP&fccid=fe0035950dcdac14&vjs=3,0.0,PYTHON DEVELOPER at Pythonwise. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Seattle, WA",PYTHON DEVELOPER at Pythonwise. Experience not specified. Salary not disclosed.,False
Jr Python Developer,Veracity Software,"Iselin, NJ 08830",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=e9c3bc0666e56209&bb=zouOSoCsp02aV5BKH80BenL0YdTcbuznuHH4x2bLiqxrZwivQ_sFNGj7enCNOP3mHZESKtdyMOUaB9Ab8yt7W0lFvNKMYyMo9b3-Z6q4yJpjcRx2qh_2UlbqnRo2MQi28YlypvoVoW7bzx4JdD85VA%3D%3D&xkcb=SoCb67M3lif4J8SsU50fbzkdCdPP&fccid=aca244d0c7282091&vjs=3,0.0,Jr Python Developer at Veracity Software. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Iselin, NJ 08830",Jr Python Developer at Veracity Software. Experience not specified. Salary not disclosed.,False
AI/Machine Learning Engineer - Python | TheLoops,Copperleaf Technologies Inc.,"Hybrid work in Palo Alto, CA",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=0714a5bc619704bd&bb=zouOSoCsp02aV5BKH80BeuXngGH8LrPZVbefEE75VjgOiExK9HiQKjPYXslIweCm6rzykQTfzUa6uoR4ogt52-wM_5LNj5jLW6zB3bzeZGVnmq3S9gCywt3XWN_yjEtgv4g-e6XRrW_MQ9IQRnIfPQ%3D%3D&xkcb=SoAv67M3lif4J8SsU50ebzkdCdPP&fccid=f42e443c97eb285e&vjs=3,0.0,AI/Machine Learning Engineer - Python | TheLoops at Copperleaf Technologies Inc.. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid work in Palo Alto, CA",AI/Machine Learning Engineer - Python | TheLoops at Copperleaf Technologies Inc.. Experience not specified. Salary not disclosed.,False
Senior Software Engineer,Joby Aviation,"Santa Cruz, CA",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=834cb03fb827ca47&bb=zouOSoCsp02aV5BKH80BehgJDfLxZCdA4LEZ1V14x7Ns9LZP-dT8zeyQboJPpKVH6zzYe0ItW3gqrvaJNIi0WWEHpZpR-iVo4ZoE_xNlLv_MVQvQH2ba_7p_w8WP3EhErv0_r6rTgMIJ5zWdiLSKoQ%3D%3D&xkcb=SoCy67M3lif4J8SsU50dbzkdCdPP&fccid=4922aa0d050a55de&vjs=3,0.0,Senior Software Engineer at Joby Aviation. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Santa Cruz, CA",Senior Software Engineer at Joby Aviation. Experience not specified. Salary not disclosed.,False
Python Developer,JPLoft,"Denver, CO",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=677a38ca1e7f2c83&bb=zouOSoCsp02aV5BKH80BeuQNb6xgFKrISN8qJ6oieu3ybNbANFuTjizoiQNSNPyZaOiZa7DxmbL54n_fsxgR3mhdNy5INX8S6Cl9q4ThKOdmwbkOK0LvgMIE9iSxY6Ur1vRWPx8dA3UqYIQkxR57pA%3D%3D&xkcb=SoAG67M3lif4J8SsU50cbzkdCdPP&fccid=1324021b8dc509e5&vjs=3,0.0,Python Developer at JPLoft. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Denver, CO",Python Developer at JPLoft. Experience not specified. Salary not disclosed.,False
Senior Python Engineer — GenAI Platform,Westfield Insurance,"Westfield Center, OH",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=d28102395694fa6c&bb=zouOSoCsp02aV5BKH80Bel4SRKZcnFOYtJQdBgwSiHuM3Ga-pLITaaUNN5NPm7dGcaE2VK7pm8TR0uXuoownFiBL8UPshsrvKAbY5FSSFzI19TM_Akxr8i6CGEsSZKOo4yyUTeCvPKKAqtznct0Ihg%3D%3D&xkcb=SoDv67M3lif4J8SsU50TbzkdCdPP&fccid=d718808518895b44&vjs=3,0.0,Senior Python Engineer — GenAI Platform at Westfield Insurance. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Westfield Center, OH",Senior Python Engineer — GenAI Platform at Westfield Insurance. Experience not specified. Salary not disclosed.,False
IT AI ENGINEER,Sally Beauty Holdings,"Hybrid work in Plano, TX",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=7de3f3c0489bf449&bb=zouOSoCsp02aV5BKH80Bej_SLDDf1PPwFPVrsbFw13c52h6S6mBWijj_O_m5eNF-S8L9qmvgOUNRFzBHR3lcjE-48nbwohKteIsEt5ojPJ8I9xR-nXMs_ABzBsPBxXVylOlqOCMqqdJ3GImnkhq3nQ%3D%3D&xkcb=SoBb67M3lif4J8SsU50SbzkdCdPP&fccid=1bd4e638720fd660&vjs=3,0.0,IT AI ENGINEER at Sally Beauty Holdings. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid work in Plano, TX",IT AI ENGINEER at Sally Beauty Holdings. Experience not specified. Salary not disclosed.,False
Python Developer,Hexagon Infosoft,"Middletown, DE 19709",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=453d73a669694605&bb=zouOSoCsp02aV5BKH80BeiC94CbLm2x2CmV7TXLVc9RbHi_ClQYw9ehyoSPi5eO876tarZpb6_4RdlBKcYcePAzt9GRCrFcsuUYRphKQ2TRKRrW5VHKlHWmIRBSlGmbfC9LjMfAxFgiyuu6rzc5Vyg%3D%3D&xkcb=SoDG67M3lif4J8SsU50RbzkdCdPP&fccid=dc71d2365a348009&vjs=3,0.0,Python Developer at Hexagon Infosoft. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Middletown, DE 19709",Python Developer at Hexagon Infosoft. Experience not specified. Salary not disclosed.,False
Software Engineer,Q2ebanking,"Austin, TX",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=2c7f443b2911ce97&bb=zouOSoCsp02aV5BKH80Bei4e8P5r-xmIn5JutriKv1dxkdjHiqF68Tp-uqZUCGX9_93djyOP3wFn8n0I8dtjiD4U5TCGIll_jD3wnDgSu1wpF1-s9uy_Je3OS0Bd_r_jpjLV4okbhONW09GepJJh6A%3D%3D&xkcb=SoBy67M3lif4J8SsU50QbzkdCdPP&fccid=5cf515b6d3e65482&vjs=3,0.0,Software Engineer at Q2ebanking. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Austin, TX",Software Engineer at Q2ebanking. Experience not specified. Salary not disclosed.,False
Backend Developer – Python,Robotics Technologies,"Plano, TX",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=ef292a64db6d8b5f&bb=zouOSoCsp02aV5BKH80BemZeD7iEdOk2Clg-RAjFV-T5sftmvw81ifWDKdNwzje2h32Rgc9j1d-ggqxeePf5UQpNU57exA3tvB_tWZVYY04PaR4tuarZ9ESG4ZnaHDwktG6PQxwr-rKOQno33V6mDw%3D%3D&xkcb=SoD867M3lif4J8SsU50XbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,0.0,Backend Developer – Python at Robotics Technologies. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Plano, TX",Backend Developer – Python at Robotics Technologies. Experience not specified. Salary not disclosed.,False
Software Developer/Engineer (Python),Eniac Systems,"Edison, NJ 08817",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=5b60e8ae6dda20c1&bb=zouOSoCsp02aV5BKH80BejvZ_OpUvPXfKfizxh4kfgTWmfnWRBmfgARc5GGz8ImuZhgBqes_AJArpAaGUb0DnajXd6N8V1VLHhDM_pj3Bi2ysT6w2wXhoVkD7I_CpnCfS0Mi61DPW8rJi42moZgvKQ%3D%3D&xkcb=SoBI67M3lif4J8SsU50WbzkdCdPP&fccid=a0ed8ac211fb22c1&vjs=3,0.0,Software Developer/Engineer (Python) at Eniac Systems. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Edison, NJ 08817",Software Developer/Engineer (Python) at Eniac Systems. Experience not specified. Salary not disclosed.,False
"Software Engineer III - Fullstack, Python, AWS, AI/ML",JPMorganChase,"Plano, TX 75024",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=8c336e57cb127fed&bb=zouOSoCsp02aV5BKH80BenDWq5oI0ppP59suEtcy1DgwvwzOkty_e-HIdp5-keCLFjT581GnUmgiA78fYhOyPY8oZ7VexpbNR6kz4634KZ3goSYHu0nXuqpGHOgb3EJedm1wfXVWP3Tz-JV6EOCz7w%3D%3D&xkcb=SoDV67M3lif4J8SsU50VbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3,0.0,"Software Engineer III - Fullstack, Python, AWS, AI/ML at JPMorganChase. Experience not specified. Salary not disclosed.",—,Not Specified,"Onsite — Plano, TX 75024","Software Engineer III - Fullstack, Python, AWS, AI/ML at JPMorganChase. Experience not specified. Salary not disclosed.",False
Jr.Python Developer,P99soft,"Austin, TX 78758 (North Burnet area)",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=6ab946ed75a4bc7f&bb=zouOSoCsp02aV5BKH80BeiLMJGUNj9uC_ZWgZZElHJQdrkil_dTILMfILQ0vcf05z2UCnisPeCChYD-mbzVC0r6Mkd65Xw4dkM2oYc_sXUGYUK7SKPje7Ff9I0N0ukYZMCiruGMrVGuG9l9AX6WtOA%3D%3D&xkcb=SoBh67M3lif4J8SsU50UbzkdCdPP&fccid=3d2b53cece39ae50&vjs=3,0.0,Jr.Python Developer at P99soft. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Austin, TX 78758 (North Burnet area)",Jr.Python Developer at P99soft. Experience not specified. Salary not disclosed.,False
